Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,Snaps/GP,Slot Rate,OPP Share,Weight OPP,Weight OPP/GP,Pass Comp,Comp/GP,Pass ATT,PA/GP,Pass Yards,PY/GP,Pass TDs,TDs/GP,Pass INT,INT/GP,Comp %,Clean Pocket %,Deep Ball Comp %,TD Rate,Pass Yards/TD,TD:INT,Yards/ ATT,AY/A,Attempted Air Yards,ATT Air Yards/GP,Completed Air Yards,Comp Air Yards/GP,aDOT,QB Rating,Total QBR,CPOE,Rush ATT,Rush ATT/GP,Rush Yards,Rush YDs/GP,Rush TDs,Rush TDs/ GP,TD Rate,Rush YDs/TD,YPC,Evaded Tackles,ET/GP,Big Runs,Juke Rate,GL ATT,FUM,REC,REC/GP,Targets,Targets/GP,Target Share,RZ Targets,Catch Rate,Routes,Routes/GP,Yards/ Route,REC Yards,REC YDs/GP,Yards/REC,Yards/ Target,Air Yards/ Target,REC TDs,REC TDs/GP,TD Rate,REC YDs/TD,YDs/TM Pass ATT,Air Yards,Air Yards/GP,Air Yards MS,WOPR,RACR,YAC,YAC/GP,Touches,Touches/GP,Scrim Yards,Scrim Yards/GP,Scrim TDs,Scrim TDs/GP,SCRIM YDs/ Play,Fantasy Points,Exp Points,FPOE,PPR PPG,PPG Rank,FP/ Touch,PPR Rank
Darnell Mooney,CHI,WR,2020,9,359,371,227,613,"3,160",425,69.3%,47.2,15.4%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,1,0.1,-3,-0.3,0,0.00,0.0%,-,-3.0,-,-,-,-,-,0,31,3.4,54,6.0,15.0%,3,57%,252,28.0,1.4,348,38.7,11.2,6.4,14.7,2,0.222,6.5%,174.0,0.94,793,88.1,25.1%,0.40,0.44,62,6.9,32,3.6,345,38.3,2,0.22,0.56,77.5,86.8,-9.3,8.6,73,2.4,55
Darrel Williams,KC,RB,2018,9,330,336,256,601,"2,262",143,23.8%,15.9,-,13.3%,33.9,3.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,20,2.2,80,8.9,1,0.11,5.0%,80.0,4.0,4,0.4,0,13.8%,0,0,9,1.0,14,1.6,4.2%,1,64%,57,6.3,1.1,60,6.7,6.7,4.3,-0.9,0,0.000,0.0%,-,0.18,-12,-1.3,-0.5%,0.06,-5.00,74,8.2,29,3.2,140,15.6,1,0.11,0.23,29.0,31.3,-0.3,3.2,85,1.0,70
Darrell Henderson,LAR,RB,2019,8,272,284,264,563,"2,025",209,37.1%,26.1,-,41.7%,79.0,9.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,95,11.9,460,57.5,3,0.38,3.2%,153.3,4.8,18,2.3,3,17.1%,5,0,10,1.3,15,1.9,5.5%,4,67%,65,8.1,1.8,116,14.5,11.6,7.7,1.1,1,0.125,10.0%,116.0,0.41,16,2.0,0.8%,0.09,7.25,97,12.1,105,13.1,576,72.0,4,0.50,1.02,91.6,89.8,1.8,11.5,31,0.9,25
Darren Fells,HOU,TE,2013,8,263,272,180,492,"2,334",324,65.9%,40.5,15.3%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,16,2.0,22,2.8,8.4%,3,73%,103,12.9,2.2,231,28.9,14.4,10.5,7.5,3,0.375,18.8%,77.0,0.85,164,20.5,7.0%,0.17,1.41,102,12.8,16,2.0,231,28.9,3,0.38,0.47,57.1,37.8,19.3,7.1,30,3.6,21
Darren Waller,LV,TE,2015,8,248,258,278,533,"1,958",480,90.1%,60.0,12.7%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,1,50,6.3,72,9.0,29.0%,11,69%,211,26.4,1.9,393,49.1,7.9,5.5,5.6,4,0.500,8.0%,98.3,1.52,401,50.1,20.5%,0.58,0.98,212,26.5,50,6.3,393,49.1,4,0.50,0.74,111.3,122.0,-8.7,13.9,3,2.2,2
Darrynton Evans,TEN,RB,2020,2,61,65,71,141,544,13,9.2%,6.5,-,7.0%,2.9,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,5,2.5,21,10.5,0,0.00,0.0%,-,4.2,2,1.0,0,40.0%,0,0,0,0.0,0,0.0,0.0%,0,-,3,1.5,0.0,0,0.0,-,-,-,0,0.000,-,-,0.00,0,0.0,0.0%,0.00,-,0,0.0,5,2.5,21,10.5,0,0.00,0.15,2.1,2.5,-0.4,1.1,99,0.4,102
Darwin Thompson,KC,RB,2019,7,274,279,195,481,"2,115",31,6.4%,4.4,-,8.7%,13.9,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,13,1.9,52,7.4,0,0.00,0.0%,-,4.0,1,0.1,0,7.7%,0,1,0,0.0,4,0.6,1.5%,0,0%,12,1.7,0.0,0,0.0,-,0.0,-1.5,0,0.000,-,-,0.00,-6,-0.9,-0.3%,0.02,0.00,0,0.0,13,1.9,52,7.4,0,0.00,0.11,3.2,9.7,-4.5,0.5,102,0.2,101
Davante Adams,GB,WR,2014,6,205,215,207,417,"1,734",338,81.1%,56.3,14.9%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,53,8.8,70,11.7,34.1%,10,76%,177,29.5,3.8,675,112.5,12.7,9.6,9.5,8,1.333,15.1%,84.4,3.14,667,111.2,38.5%,0.78,1.01,190,31.7,53,8.8,675,112.5,8,1.33,1.62,168.5,126.0,42.5,28.1,1,3.2,2
David Johnson,HOU,RB,2015,8,263,272,180,492,"2,334",347,70.5%,43.4,-,71.1%,99.5,12.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,103,12.9,408,51.0,3,0.38,2.9%,136.0,4.0,22,2.8,3,18.5%,7,1,16,2.0,25,3.1,9.5%,5,64%,188,23.5,0.9,161,20.1,10.1,6.4,4.5,1,0.125,6.3%,161.0,0.59,113,14.1,4.8%,0.18,1.42,119,14.9,119,14.9,569,71.1,4,0.50,1.16,94.9,105.6,-8.7,11.9,29,0.8,23
David Montgomery,CHI,RB,2019,9,359,371,227,613,"3,160",431,70.3%,47.9,-,75.8%,141.2,15.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,131,14.6,472,52.4,1,0.11,0.8%,472.0,3.6,36,4.0,2,22.4%,5,1,30,3.3,41,4.6,11.4%,6,73%,189,21.0,1.1,212,23.6,7.1,5.2,0.9,1,0.111,3.3%,212.0,0.57,38,4.2,1.2%,0.18,5.58,175,19.4,161,17.9,684,76.0,2,0.22,1.12,108.4,140.0,-27.6,12.0,27,0.7,14
David Moore,SEA,WR,2017,8,285,297,211,535,"2,654",224,41.9%,28.0,27.9%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,4,0.5,44,5.5,0,0.00,0.0%,-,11.0,-,-,-,-,-,0,20,2.5,26,3.3,9.1%,5,77%,115,14.4,2.7,316,39.5,15.8,12.2,11.5,4,0.500,20.0%,79.0,1.06,300,37.5,11.3%,0.22,1.05,105,13.1,24,3.0,360,45.0,4,0.50,0.67,80.0,48.3,31.7,10.0,55,3.3,50
David Njoku,CLE,TE,2017,5,153,159,138,304,"1,205",121,39.8%,24.2,14.5%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,8,1.6,13,2.6,8.5%,2,62%,52,10.4,2.0,102,20.4,12.8,7.8,8.4,2,0.400,25.0%,51.0,0.64,109,21.8,9.0%,0.19,0.94,30,6.0,8,1.6,102,20.4,2,0.40,0.34,30.2,24.9,5.3,6.0,31,3.8,38
Dawson Knox,BUF,TE,2019,5,195,199,118,349,"1,554",157,45.0%,31.4,4.9%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,1,6,1.2,12,2.4,6.2%,4,50%,64,12.8,1.5,95,19.0,15.8,7.9,4.9,0,0.000,0.0%,-,0.48,59,11.8,3.8%,0.12,1.61,78,15.6,6,1.2,95,19.0,0,0.00,0.27,13.5,21.1,-5.6,2.7,47,2.3,50
DeAndre Hopkins,ARI,WR,2013,8,261,279,222,571,"2,176",527,92.3%,65.9,4.8%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,1,60,7.5,76,9.5,29.1%,7,79%,256,32.0,2.9,734,91.8,12.2,9.7,8.6,3,0.375,5.0%,244.7,2.63,655,81.9,30.1%,0.65,1.12,298,37.3,60,7.5,734,91.8,3,0.38,1.29,149.4,123.2,28.2,18.7,7,2.5,6
Deebo Samuel,SF,WR,2019,4,135,138,142,276,880,183,66.3%,45.8,12.4%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,6,1.5,14,3.5,0,0.00,0.0%,-,2.3,-,-,-,-,-,0,16,4.0,22,5.5,16.3%,2,73%,96,24.0,1.9,185,46.3,11.6,8.4,2.4,1,0.250,6.3%,185.0,1.34,52,13.0,5.9%,0.29,3.56,211,52.8,22,5.5,199,49.8,1,0.25,0.72,41.9,37.8,4.1,10.5,52,1.9,92
DeeJay Dallas,SEA,RB,2020,6,225,234,156,410,"2,181",97,23.7%,16.2,-,25.0%,34.7,5.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,27,4.5,80,13.3,2,0.33,7.4%,40.0,3.0,3,0.5,0,7.9%,2,0,11,1.8,12,2.0,5.3%,3,92%,36,6.0,1.6,58,9.7,5.3,4.8,1.3,1,0.167,9.1%,58.0,0.25,16,2.7,0.7%,0.09,3.63,41,6.8,38,6.3,138,23.0,3,0.50,0.34,42.8,43.3,-0.5,7.1,58,1.1,55
Demarcus Robinson,KC,WR,2016,9,330,336,256,601,"2,262",383,63.7%,42.6,23.8%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,1,21,2.3,30,3.3,9.1%,4,70%,189,21.0,1.2,220,24.4,10.5,7.3,9.6,2,0.222,9.5%,110.0,0.65,287,31.9,12.7%,0.23,0.77,66,7.3,21,2.3,220,24.4,2,0.22,0.37,53.0,53.0,2.0,5.9,100,2.5,83
Denzel Mims,NYJ,WR,2020,3,74,78,71,160,620,144,90.0%,48.0,27.1%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,10,3.3,18,6.0,24.3%,2,56%,57,19.0,2.6,146,48.7,14.6,8.1,12.9,0,0.000,0.0%,-,1.87,232,77.3,37.4%,0.63,0.63,58,19.3,10,3.3,146,48.7,0,0.00,0.91,24.6,30.7,-6.1,8.2,79,2.5,117
Deonte Harris,NO,WR,2019,7,238,242,257,476,"1,262",141,29.6%,20.1,38.9%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,5,0.7,28,4.0,0,0.00,0.0%,-,5.6,-,-,-,-,-,0,15,2.1,20,2.9,8.4%,1,75%,95,13.6,1.7,160,22.9,10.7,8.0,5.2,1,0.143,6.7%,160.0,0.66,103,14.7,8.2%,0.18,1.55,74,10.6,20,2.9,188,26.9,1,0.14,0.39,39.8,37.4,2.4,5.7,101,2.0,97
Derek Carr,LV,QB,2014,8,248,258,278,533,"1,958",533,100.0%,66.6,-,-,-,-,180,22.5,258,32.3,2001,250.1,16,2.0,2,0.3,69.8%,78.0%,50.0%,6.2%,125.1,8.0,7.8,8.6,1952,244.0,1952,244.0,7.6,110.0,77.5,3.6,23,2.9,108,13.5,0,0.00,0.0%,-,-,-,-,-,-,-,5,0,0.0,0,0.0,0.0%,-,-,-,-,-,0,0.0,-,-,-,0,0.000,-,-,0.00,0,0.0,0.0%,0.00,-,0,-,-,-,-,-,-,-,-,140.8,148.7,22.3,17.6,22,-,18
Derrick Henry,TEN,RB,2016,8,246,255,256,533,"2,032",344,64.5%,43.0,-,78.1%,134.2,16.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,182,22.8,843,105.4,8,1.00,4.4%,105.4,4.6,44,5.5,6,22.9%,10,0,10,1.3,18,2.3,7.3%,1,56%,103,12.9,0.8,81,10.1,8.1,4.5,0.1,0,0.000,0.0%,-,0.32,1,0.1,0.0%,0.11,81.00,74,9.3,192,24.0,924,115.5,8,1.00,1.73,150.4,146.4,4.0,18.8,5,0.8,3
DeSean Jackson,PHI,WR,2008,4,168,175,111,311,"1,485",159,51.1%,39.8,14.1%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,1,0.3,12,3.0,0,0.00,0.0%,-,12.0,-,-,-,-,-,0,13,3.3,25,6.3,14.9%,2,52%,111,27.8,1.4,155,38.8,11.9,6.2,15.6,0,0.000,0.0%,-,0.89,391,97.8,26.3%,0.41,0.40,25,6.3,14,3.5,167,41.8,0,0.00,0.54,29.7,41.4,-11.7,7.4,85,2.1,108
Deshaun Watson,HOU,QB,2017,8,263,272,180,492,"2,334",492,100.0%,61.5,-,-,-,-,185,23.1,271,33.9,2376,297.0,17,2.1,5,0.6,68.3%,88.2%,59.1%,6.3%,139.8,3.4,8.8,9.2,2340,292.5,2340,292.5,8.6,108.7,72.1,4.1,40,5.0,197,24.6,1,0.13,2.5%,-,-,-,-,-,-,-,0,0,0.0,0,0.0,0.0%,-,-,-,-,-,0,0.0,-,-,-,0,0.000,-,-,0.00,0,0.0,0.0%,0.00,-,0,-,-,-,-,-,-,-,-,178.7,163.3,39.3,22.3,8,-,6
Devante Parker,MIA,WR,2015,8,245,249,219,502,"1,901",385,76.7%,48.1,18.1%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,36,4.5,49,6.1,20.0%,2,73%,226,28.3,1.9,431,53.9,12.0,8.8,9.3,3,0.375,8.3%,143.7,1.73,457,57.1,24.0%,0.47,0.94,85,10.6,36,4.5,431,53.9,3,0.38,0.86,97.1,80.1,17.0,12.1,42,2.7,33
Devin Duvernay,BAL,WR,2020,8,208,216,216,519,"1,877",147,28.3%,18.4,17.0%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,2,0.3,41,5.1,0,0.00,0.0%,-,20.5,-,-,-,-,-,0,11,1.4,15,1.9,7.2%,1,73%,68,8.5,1.9,129,16.1,11.7,8.6,5.7,0,0.000,0.0%,-,0.60,85,10.6,4.5%,0.14,1.52,69,8.6,13,1.6,170,21.3,0,0.00,0.33,28.0,27.3,6.7,3.5,124,2.2,111
Devin Singletary,BUF,RB,2019,9,312,319,211,596,"2,607",378,63.4%,42.0,-,60.7%,107.6,12.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,95,10.6,385,42.8,1,0.11,1.1%,385.0,4.1,32,3.6,5,26.9%,3,0,24,2.7,33,3.7,10.6%,4,73%,164,18.2,1.2,192,21.3,8.0,5.8,1.4,0,0.000,0.0%,-,0.60,47,5.2,1.8%,0.17,4.09,139,15.4,119,13.2,577,64.1,1,0.11,0.97,87.7,102.5,-14.8,9.7,39,0.7,27
Devonta Freeman,NYG,RB,2014,5,143,150,122,296,"1,012",136,45.9%,27.2,-,52.5%,47.2,9.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,54,10.8,172,34.4,1,0.20,1.9%,172.0,3.2,8,1.6,0,13.1%,0,0,7,1.4,10,2.0,7.0%,3,70%,50,10.0,1.2,58,11.6,8.3,5.8,-1.4,0,0.000,0.0%,-,0.39,-14,-2.8,-1.4%,0.10,-4.14,70,14.0,61,12.2,230,46.0,1,0.20,0.78,36.0,42.1,-6.1,7.2,57,0.6,66
Devontae Booker,LV,RB,2016,8,248,258,278,533,"1,958",82,15.4%,10.3,-,14.7%,31.9,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,33,4.1,223,27.9,1,0.13,3.0%,223.0,6.8,9,1.1,2,22.0%,0,0,8,1.0,8,1.0,3.2%,1,100%,20,2.5,3.0,60,7.5,7.5,7.5,1.3,0,0.000,0.0%,-,0.23,10,1.3,0.5%,0.05,6.00,50,6.3,41,5.1,283,35.4,1,0.13,0.53,42.3,27.4,14.9,5.3,69,1.0,57
Dion Lewis,NYG,RB,2011,9,292,307,230,580,"2,106",186,32.1%,20.7,-,17.8%,46.0,5.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,19,2.1,59,6.6,1,0.11,5.3%,59.0,3.1,6,0.7,1,18.2%,2,1,14,1.6,22,2.4,7.5%,4,64%,108,12.0,0.8,89,9.9,6.4,4.0,2.0,1,0.111,7.1%,89.0,0.29,45,5.0,2.1%,0.13,1.98,54,6.0,33,3.7,148,16.4,2,0.22,0.26,38.8,44.2,-3.4,4.3,77,1.2,61
Diontae Johnson,PIT,WR,2019,7,267,269,202,485,"1,784",293,60.4%,41.9,8.0%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,2,0.3,13,1.9,0,0.00,0.0%,-,6.5,-,-,-,-,-,1,31,4.4,54,7.7,20.2%,5,57%,159,22.7,1.9,310,44.3,10.0,5.7,8.2,3,0.429,9.7%,103.3,1.15,442,63.1,24.8%,0.48,0.70,126,18.0,33,4.7,323,46.1,3,0.43,0.67,79.3,89.8,-8.5,11.3,45,2.4,52
DJ Chark,JAC,WR,2018,7,250,263,182,464,"2,058",380,81.9%,54.3,20.1%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,33,4.7,53,7.6,21.2%,8,62%,220,31.4,2.0,437,62.4,13.2,8.2,13.5,4,0.571,12.1%,109.3,1.66,715,102.1,34.7%,0.56,0.61,42,6.0,33,4.7,437,62.4,4,0.57,0.94,100.7,86.8,13.9,14.4,24,3.1,30
DJ Moore,CAR,WR,2018,9,297,312,266,584,"2,137",509,87.2%,56.6,14.4%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,35,3.9,62,6.9,20.9%,3,56%,265,29.4,2.4,640,71.1,18.3,10.3,12.0,3,0.333,8.6%,213.3,2.05,743,82.6,34.8%,0.56,0.86,199,22.1,35,3.9,640,71.1,3,0.33,1.10,117.0,102.2,14.8,13.0,37,3.3,21
DK Metcalf,SEA,WR,2019,8,285,297,211,535,"2,654",515,96.3%,64.4,15.1%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,1,43,5.4,68,8.5,23.9%,7,63%,275,34.4,2.9,788,98.5,18.3,11.6,14.5,8,1.000,18.6%,98.5,2.65,989,123.6,37.3%,0.62,0.80,204,25.5,43,5.4,788,98.5,8,1.00,1.47,167.8,117.7,52.1,21.0,2,3.9,3
Donovan Peoples-Jones,CLE,WR,2020,5,132,144,147,308,990,86,27.9%,17.2,23.2%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,3,0.6,4,0.8,3.0%,0,75%,41,8.2,1.4,56,11.2,18.7,14.0,14.3,1,0.200,33.3%,56.0,0.39,57,11.4,5.8%,0.09,0.98,3,0.6,3,0.6,56,11.2,1,0.20,0.18,14.6,7.4,7.2,2.9,127,4.9,130
Dontrelle Inman,WAS,WR,2011,7,232,243,217,468,"1,567",300,64.1%,42.9,13.0%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,17,2.4,27,3.9,11.6%,2,63%,201,28.7,0.7,148,21.1,8.7,5.5,8.3,2,0.286,11.8%,74.0,0.61,224,32.0,14.3%,0.27,0.66,36,5.1,17,2.4,148,21.1,2,0.29,0.32,43.8,43.0,0.8,6.3,98,2.6,91
Drew Brees,NO,QB,2001,8,285,289,290,552,"1,587",523,94.7%,65.4,-,-,-,-,211,26.4,285,35.6,2120,265.0,17,2.1,3,0.4,74.0%,78.5%,55.6%,6.0%,124.7,5.7,7.4,8.2,1562,195.3,1562,195.3,5.5,110.3,79.2,4.5,14,1.8,2,0.3,2,0.25,14.3%,-,-,-,-,-,-,-,2,0,0.0,0,0.0,0.0%,-,-,-,-,-,0,0.0,-,-,-,0,0.000,-,-,0.00,0,0.0,0.0%,0.00,-,0,-,-,-,-,-,-,-,-,155.0,154.2,26.1,19.4,12,-,13
Drew Lock,DEN,QB,2019,6,215,224,168,415,"2,223",350,84.3%,58.3,-,-,-,-,108,18.0,191,31.8,1240,206.7,6,1.0,6,1.0,56.5%,67.6%,20.0%,3.1%,206.7,1.0,6.5,5.7,1803,300.5,1803,300.5,9.4,73.6,37.6,-4.5,20,3.3,58,9.7,2,0.33,10.0%,-,-,-,-,-,-,-,1,0,0.0,0,0.0,0.0%,-,-,-,-,-,0,0.0,-,-,-,0,0.000,-,-,0.00,0,0.0,0.0%,0.00,-,0,-,-,-,-,-,-,-,-,77.4,106.2,-14.4,12.9,32,-,29
Drew Sample,CIN,TE,2019,8,321,331,239,595,"2,688",459,77.1%,57.4,6.5%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,19,2.4,26,3.3,8.1%,9,73%,214,26.8,0.8,174,21.8,9.2,6.7,4.8,0,0.000,0.0%,-,0.53,124,15.5,4.6%,0.15,1.40,99,12.4,19,2.4,174,21.8,0,0.00,0.29,36.4,49.3,-12.9,4.6,38,1.9,32
Duke Johnson,HOU,RB,2015,6,202,209,147,386,"1,760",147,38.1%,24.5,-,34.7%,46.8,7.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,34,5.7,95,15.8,1,0.17,2.9%,95.0,2.8,5,0.8,0,10.4%,0,1,14,2.3,17,2.8,8.4%,4,82%,50,8.3,2.2,109,18.2,7.8,6.4,0.8,0,0.000,0.0%,-,0.52,13,2.2,0.7%,0.13,8.38,78,13.0,48,8.0,204,34.0,1,0.17,0.53,38.4,44.7,-4.3,6.4,63,0.8,62
Dwayne Haskins,WAS,QB,2019,4,143,146,120,272,974,272,100.0%,68.0,-,-,-,-,89,22.3,146,36.5,939,234.8,4,1.0,3,0.8,61.0%,67.3%,21.4%,2.7%,234.8,1.3,6.4,6.1,974,243.5,974,243.5,6.7,80.3,31.4,-5.0,13,3.3,30,7.5,1,0.25,7.7%,-,-,-,-,-,-,-,2,0,0.0,0,0.0,0.0%,-,-,-,-,-,0,0.0,-,-,-,0,0.000,-,-,0.00,0,0.0,0.0%,0.00,-,0,-,-,-,-,-,-,-,-,52.6,79.7,-13.7,13.1,31,-,33
Emmanuel Sanders,NO,WR,2010,6,208,211,221,408,"1,241",246,60.3%,41.0,30.7%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,30,5.0,41,6.8,19.7%,8,73%,148,24.7,2.3,342,57.0,11.4,8.3,8.8,3,0.500,10.0%,114.0,1.62,359,59.8,28.9%,0.50,0.95,46,7.7,30,5.0,342,57.0,3,0.50,0.84,82.2,74.8,7.4,13.7,31,2.7,45
Eric Ebron,PIT,TE,2014,8,290,292,236,550,"1,957",425,77.3%,53.1,9.4%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,1,29,3.6,43,5.4,14.8%,8,67%,191,23.9,1.5,285,35.6,9.8,6.6,8.1,3,0.375,10.3%,95.0,0.98,349,43.6,17.8%,0.35,0.82,79,9.9,29,3.6,285,35.6,3,0.38,0.52,73.5,69.8,5.7,9.2,17,2.5,15
Evan Engram,NYG,TE,2017,9,292,307,230,580,"2,106",491,84.7%,54.6,36.7%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,5,0.6,21,2.3,1,0.11,20.0%,21.0,4.2,-,-,-,-,-,0,36,4.0,64,7.1,21.9%,8,56%,263,29.2,1.3,332,36.9,9.2,5.2,5.6,1,0.111,2.8%,332.0,1.08,358,39.8,17.0%,0.45,0.93,148,16.4,41,4.6,353,39.2,2,0.22,0.61,83.3,108.1,-24.8,9.3,16,2.0,11
